Locator2,CollectDate,Month,Depth,ParmName,Units,Value,Mdl
814,07-07-03,7,A,Alkalinity,mg CaCO3/L,41,1
814,07-10-03,10,A,Alkalinity,mg CaCO3/L,41.1,1
817,14-04-82,4,A,Alkalinity,mg CaCO3/L,32,
817,29-04-82,4,A,Alkalinity,mg CaCO3/L,32,
817,11-05-82,5,A,Alkalinity,mg CaCO3/L,33,
817,24-05-82,5,A,Alkalinity,mg CaCO3/L,36,
817,07-06-82,6,A,Alkalinity,mg CaCO3/L,32,
817,28-06-82,6,A,Alkalinity,mg CaCO3/L,33,
817,13-07-82,7,A,Alkalinity,mg CaCO3/L,31,
817,26-07-82,7,A,Alkalinity,mg CaCO3/L,34,
817,09-08-82,8,A,Alkalinity,mg CaCO3/L,35,
817,23-08-82,8,A,Alkalinity,mg CaCO3/L,33,
817,07-09-82,9,A,Alkalinity,mg CaCO3/L,34,
817,27-09-82,9,A,Alkalinity,mg CaCO3/L,35,
817,11-10-82,10,A,Alkalinity,mg CaCO3/L,36,
817,27-10-82,10,A,Alkalinity,mg CaCO3/L,36,
817,09-11-82,11,A,Alkalinity,mg CaCO3/L,33,
817,22-11-82,11,A,Alkalinity,mg CaCO3/L,33,
817,07-12-82,12,A,Alkalinity,mg CaCO3/L,33,
817,20-12-82,12,A,Alkalinity,mg CaCO3/L,38,
817,17-01-83,1,A,Alkalinity,mg CaCO3/L,35,
817,08-02-83,2,A,Alkalinity,mg CaCO3/L,32,
817,22-02-83,2,A,Alkalinity,mg CaCO3/L,35,
817,07-03-83,3,A,Alkalinity,mg CaCO3/L,36,
817,21-03-83,3,A,Alkalinity,mg CaCO3/L,32,
817,05-01-94,1,A,Alkalinity,mg CaCO3/L,38,0.2
817,02-05-94,5,A,Alkalinity,mg CaCO3/L,41,0.2
817,05-07-94,7,A,Alkalinity,mg CaCO3/L,40,0.2
817,03-10-94,10,A,Alkalinity,mg CaCO3/L,41,0.2
817,18-01-95,1,A,Alkalinity,mg CaCO3/L,40,0.2
817,03-04-95,4,A,Alkalinity,mg CaCO3/L,41,0.2
817,11-07-95,7,A,Alkalinity,mg CaCO3/L,39,0.2
817,04-10-95,10,A,Alkalinity,mg CaCO3/L,39.7,0.2
817,02-01-96,1,A,Alkalinity,mg CaCO3/L,37.6,0.2
817,08-04-96,4,A,Alkalinity,mg CaCO3/L,37.1,0.2
817,01-07-96,7,A,Alkalinity,mg CaCO3/L,36.5,0.2
817,03-10-96,10,A,Alkalinity,mg CaCO3/L,38.8,0.2
817,23-01-97,1,A,Alkalinity,mg CaCO3/L,34,0.2
817,01-04-97,4,A,Alkalinity,mg CaCO3/L,35.3,0.2
817,01-07-97,7,A,Alkalinity,mg CaCO3/L,35.9,0.2
817,07-10-97,10,A,Alkalinity,mg CaCO3/L,37.1,0.2
817,06-01-98,1,A,Alkalinity,mg CaCO3/L,35.5,0.2
817,07-04-98,4,A,Alkalinity,mg CaCO3/L,39.6,0.2
817,07-07-98,7,A,Alkalinity,mg CaCO3/L,38.4,0.2
817,06-10-98,10,A,Alkalinity,mg CaCO3/L,39,0.2
817,04-01-99,1,A,Alkalinity,mg CaCO3/L,35.4,0.2
817,05-04-99,4,A,Alkalinity,mg CaCO3/L,33.8,0.2
817,06-07-99,7,A,Alkalinity,mg CaCO3/L,36.5,0.2
817,03-01-00,1,A,Alkalinity,mg CaCO3/L,36.4,0.2
817,03-04-00,4,A,Alkalinity,mg CaCO3/L,39.5,0.2
817,03-07-00,7,A,Alkalinity,mg CaCO3/L,37.5,0.2
817,02-10-00,10,A,Alkalinity,mg CaCO3/L,38.1,0.2
817,02-04-01,4,A,Alkalinity,mg CaCO3/L,38,0.2
817,03-07-01,7,A,Alkalinity,mg CaCO3/L,40.9,0.2
817,07-01-02,1,A,Alkalinity,mg CaCO3/L,34.4,0.2
817,01-04-02,4,A,Alkalinity,mg CaCO3/L,37.6,0.2
817,01-07-02,7,A,Alkalinity,mg CaCO3/L,37.9,0.2
817,08-10-02,10,A,Alkalinity,mg CaCO3/L,39.2,0.2
817,09-04-03,4,A,Alkalinity,mg CaCO3/L,38.3,0.2
817,07-10-03,10,A,Alkalinity,mg CaCO3/L,42.1,1
826,28-06-82,6,A,Alkalinity,mg CaCO3/L,33,
826,13-07-82,7,A,Alkalinity,mg CaCO3/L,34,
826,26-07-82,7,A,Alkalinity,mg CaCO3/L,34,
826,09-08-82,8,A,Alkalinity,mg CaCO3/L,34,
826,23-08-82,8,A,Alkalinity,mg CaCO3/L,34,
826,07-09-82,9,A,Alkalinity,mg CaCO3/L,35,
826,27-09-82,9,A,Alkalinity,mg CaCO3/L,34,
826,27-10-82,10,A,Alkalinity,mg CaCO3/L,34,
826,09-11-82,11,A,Alkalinity,mg CaCO3/L,34,
826,22-11-82,11,A,Alkalinity,mg CaCO3/L,33,
826,07-12-82,12,A,Alkalinity,mg CaCO3/L,33,
826,20-12-82,12,A,Alkalinity,mg CaCO3/L,32,
826,17-01-83,1,A,Alkalinity,mg CaCO3/L,32,
826,08-02-83,2,A,Alkalinity,mg CaCO3/L,31,
826,22-02-83,2,A,Alkalinity,mg CaCO3/L,30,
826,07-03-83,3,A,Alkalinity,mg CaCO3/L,32,
826,21-03-83,3,A,Alkalinity,mg CaCO3/L,32,
826,08-06-83,6,A,Alkalinity,mg CaCO3/L,32,
826,28-09-83,9,A,Alkalinity,mg CaCO3/L,34,
826,07-12-83,12,A,Alkalinity,mg CaCO3/L,32,
826,22-03-84,3,A,Alkalinity,mg CaCO3/L,32,
826,05-01-94,1,A,Alkalinity,mg CaCO3/L,37,0.2
826,15-02-94,2,A,Alkalinity,mg CaCO3/L,39,0.2
826,02-05-94,5,A,Alkalinity,mg CaCO3/L,39,0.2
826,05-07-94,7,A,Alkalinity,mg CaCO3/L,39,0.2
826,03-10-94,10,A,Alkalinity,mg CaCO3/L,41,0.2
826,18-01-95,1,A,Alkalinity,mg CaCO3/L,39,0.2
826,03-04-95,4,A,Alkalinity,mg CaCO3/L,38,0.2
826,11-07-95,7,A,Alkalinity,mg CaCO3/L,39,0.2
826,04-10-95,10,A,Alkalinity,mg CaCO3/L,39.9,0.2
826,02-01-96,1,A,Alkalinity,mg CaCO3/L,37,0.2
826,08-04-96,4,A,Alkalinity,mg CaCO3/L,35.6,0.2
826,01-07-96,7,A,Alkalinity,mg CaCO3/L,36.6,0.2
826,03-10-96,10,A,Alkalinity,mg CaCO3/L,38.8,0.2
